field,armino_value,category,nuttx_action,notes
._cal_set_rfconfig_BTPLL,rwnx_cal_set_rfconfig_BTPLL,vendor_symbol,挂表,vendor glue 已编入
._cal_set_rfconfig_WIFIPLL,rwnx_cal_set_rfconfig_WIFIPLL,vendor_symbol,挂表,vendor glue 已编入
._calibration_init,calibration_init,vendor_symbol,挂表,wifi_init.c 已编入
._rf_pll_ctrl,rf_pll_ctrl_wrapper,vendor_symbol,挂表+写wrapper,需thin wrapper调rf_pll_ctrl
._rw_msg_send,rw_msg_send,vendor_symbol,挂表,rw_msg_tx.c 已编入
._rw_ieee80211_init_scan_chan,rw_ieee80211_init_scan_chan,vendor_symbol,挂表,rw_ieee80211.c 已编入
._rw_ieee80211_get_scan_default_chan_num,rw_ieee80211_get_scan_default_chan_num,vendor_symbol,挂表,rw_ieee80211.c 已编入
._sr_get_scan_number,sr_get_scan_number,vendor_symbol,挂表,vendor glue 已编入
._sr_get_scan_results,sr_get_scan_results,vendor_symbol,挂表,vendor glue 已编入
._sr_flush_scan_results,sr_flush_scan_results,vendor_symbol,挂表,vendor glue 已编入
._rwnx_set_bk_rlk_start,rwnx_set_wifi_rlk_start,vendor_symbol,挂表,vendor glue 已编入
._rwnx_get_rlk_info_results,rwnx_get_rlk_info_results,vendor_symbol,挂表,vendor glue 已编入
._rwnx_flush_rlk_info_results,rwnx_flush_rlk_info_results,vendor_symbol,挂表,vendor glue 已编入
._rwnx_cal_save_trx_rcbekn_reg_val,rwnx_cal_save_trx_rcbekn_reg_val,vendor_symbol,挂表,vendor glue 已编入
._rwnx_cal_recover_rcbeken_reg_val,rwnx_cal_recover_rcbeken_reg_val,vendor_symbol,挂表,vendor glue 已编入
._rwnx_cal_recover_trx_reg_val,rwnx_cal_recover_trx_reg_val,vendor_symbol,挂表,vendor glue 已编入
._rwnx_cal_recover_rf_setting,rwnx_cal_recover_rf_setting,vendor_symbol,挂表,vendor glue 已编入
._rwnx_cal_recover_wifi_setting,rwnx_cal_recover_wifi_setting,vendor_symbol,挂表,vendor glue 已编入
._rwnx_cal_load_trx_rcbekn_reg_val,rwnx_cal_load_trx_rcbekn_reg_val,vendor_symbol,挂表,vendor glue 已编入
._rwnx_cal_set_channel,rwnx_cal_set_channel,vendor_symbol,挂表,可能需wrapper加频率转换
._rwnx_cal_set_40M_setting,rwnx_cal_set_40M_setting,vendor_symbol,挂表,vendor glue 已编入
._rwnx_cal_set_20M_setting,rwnx_cal_set_20M_setting,vendor_symbol,挂表,vendor glue 已编入
._rwnx_cal_mac_sleep_rc_clr,rwnx_cal_mac_sleep_rc_clr,vendor_symbol,挂表,vendor glue 已编入
._rwnx_cal_mac_sleep_rc_recover,rwnx_cal_mac_sleep_rc_recover,vendor_symbol,挂表,vendor glue 已编入
._rwnx_tpc_get_pwridx_by_rate,rwnx_tpc_get_pwridx_by_rate,vendor_symbol,挂表,vendor glue 已编入
._rwnx_is_enable_pwr_change_by_rssi,rwnx_is_enable_pwr_change_by_rssi,vendor_symbol,挂表,vendor glue 已编入
._rwnx_setting_for_single_rate,rwnx_setting_for_single_rate,vendor_symbol,挂表,vendor glue 已编入
._tpc_auto_change_pwr_by_rssi,tpc_auto_change_pwr_by_rssi,vendor_symbol,挂表,vendor glue 已编入
._bk7011_cal_pll,bk7011_cal_pll,vendor_symbol,挂表,vendor glue 已编入
._bk7011_update_by_rx,bk7011_update_by_rx,vendor_symbol,挂表,可能需wrapper
._bk7011_default_rxsens_setting,bk7011_default_rxsens_setting,vendor_symbol,挂表,vendor glue 已编入
._bk7011_max_rxsens_setting,bk7011_max_rxsens_setting,vendor_symbol,挂表,vendor glue 已编入
._manual_get_epa_flag,manual_get_epa_flag,vendor_symbol,挂表,vendor glue 已编入
._rxsens_start_flag_get,rxsens_start_flag_get,vendor_symbol,挂表,vendor glue 已编入
._rc_drv_get_rf_en,rc_drv_get_rf_en,vendor_symbol,挂表,vendor glue 已编入
._power_save_delay_sleep_check,stub_return_0,safe_stub,空实现返回0,省电首版不启用
._power_save_wake_mac_rf_if_in_sleep,stub_void,safe_stub,空函数,省电首版不启用
._power_save_wake_mac_rf_end_clr_flag,stub_void,safe_stub,空函数,省电首版不启用
._power_save_if_ps_rf_dtim_enabled,stub_return_false,safe_stub,返回false,省电首版不启用
._power_save_forbid_trace,stub_void,safe_stub,空函数,省电首版不启用
._power_save_rf_sleep_check,stub_return_0,safe_stub,返回0,省电首版不启用
._ps_need_pre_process,stub_return_false,safe_stub,返回false,省电首版不启用
._mac_ps_bcn_callback,stub_void,safe_stub,空函数,省电首版不启用
._mac_sleeped,stub_return_false,safe_stub,返回false,省电首版不启用
._mcu_ps_machw_cal,stub_void,safe_stub,空函数,省电首版不启用
